SKU,GRUPPO,TITOLO_VECCHIO,TITOLO_NUOVO,NOTA
FAN86444,ORO,FANOLA COLOR COLOR KERATIN ORO PURO CIOCCOLATO 6.14,CREMA COLORE CAPELLI SENZA AMMONIACA ORO THERAPY 100 ML 6.14 BIONDO SCURO CIOCCOLATO,
FAN86440,ORO,FANOLA TINTURA ORO THERAPY COLOR KERATIN SENZA AMMONIACA 9.1,CREMA COLORE CAPELLI SENZA AMMONIACA ORO THERAPY 100 ML 9.1 BIONDO CHIARISSIMO CENERE,
FAN86439,ORO,FANOLA TINTURA ORO THERAPY COLOR KERATIN SENZA AMMONIACA 8.1,CREMA COLORE CAPELLI SENZA AMMONIACA ORO THERAPY 100 ML 8.1 BIONDO CHIARO CENERE,
FAN86438,ORO,FANOLA TINTURA ORO THERAPY COLOR KERATIN SENZA AMMONIACA 7.1,CREMA COLORE CAPELLI SENZA AMMONIACA ORO THERAPY 100 ML 7.1 BIONDO CENERE,
FAN86436,ORO,FANOLA TINTURA ORO THERAPY COLOR KERATIN SENZA AMMONIACA 5.1,CREMA COLORE CAPELLI SENZA AMMONIACA ORO THERAPY 100 ML 5.1 CASTANO CHIARO CENERE,
FAN86434,ORO,FANOLA TINTURA ORO THERAPY COLOR KERATIN SENZA AMMONIACA 5.2,CREMA COLORE CAPELLI SENZA AMMONIACA ORO THERAPY 100 ML 5.2 CASTANO CHIARO VIOLA,
FAN86431,ORO,FANOLA TINTURA ORO THERAPY COLOR KERATIN SENZA AMMONIACA 9.0,CREMA COLORE CAPELLI SENZA AMMONIACA ORO THERAPY 100 ML 9.0 BIONDO CHIARISSIMO,
FAN86430,ORO,FANOLA TINTURA ORO THERAPY COLOR KERATIN SENZA AMMONIACA 8.0,CREMA COLORE CAPELLI SENZA AMMONIACA ORO THERAPY 100 ML 8.0 BIONDO CHIARO,
FAN86426,ORO,FANOLA TINTURA ORO THERAPY COLOR KERATIN SENZA AMMONIACA 4.0,CREMA COLORE CAPELLI SENZA AMMONIACA ORO THERAPY 100 ML 4.0 CASTANO,
FAN86425,ORO,FANOLA TINTURA ORO THERAPY COLOR KERATIN SENZA AMMONIACA 3.0,CREMA COLORE CAPELLI SENZA AMMONIACA ORO THERAPY 100 ML 3.0 CASTANO SCURO,
FAN86353,ORO,FANOLA TINTURA ORO THERAPY COLOR KERATIN SENZA AMMONIACA 6.31,CREMA COLORE CAPELLI SENZA AMMONIACA ORO THERAPY 100 ML 6.31 BIONDO SCURO,colore SISTEMA (verifica)
FAN86326,TINT,FANOLA COLOR SUPERSCHIARENTI 12.7,CREMA COLORE CAPELLI 100 ML 12.7 SUPERSCHIARENTE PLATINO MARRONE,
FAN86309,TINT,Fanola – Tinta per capelli 100 ml Colore 5.22,CREMA COLORE CAPELLI 100 ML 5.22 CASTANO CHIARO VIOLA INTENSO,
FAN86305,TINT,"Fanola – Crema colorante per capelli, 8.11 biondo chiaro cenere intenso, 100 ml",CREMA COLORE CAPELLI 100 ML 8.11 BIONDO CHIARO CENERE INTENSO,
FAN86175,ORO,FANOLA TINTURA ORO THERAPY COLOR KERATIN SENZA AMMONIACA 7.34,CREMA COLORE CAPELLI SENZA AMMONIACA ORO THERAPY 100 ML 7.34 BIONDO DORATO RAME,
FAN86173,ORO,"Fanola Oro Therapy 24K Tinta per capelli, 100 ml, colorante permanente per capelli senza ammoniaca, arricchito con cheratina, olio di argan, oro puro micro-attivo, per la massima copertura, perfetta e uniforme, per colori brillanti, intensi, di lunga durata 100mL",CREMA COLORE CAPELLI SENZA AMMONIACA ORO THERAPY 100 ML 6.34 BIONDO SCURO DORATO RAME,
FAN86162,OXY,"Fanola Acqua Ossigenata 1L, 20 Vol. 6%",OSSIGENO 20 VOL,
FAN86161,OXY,"Fanola – Crema ossidante, 10 volumi, 1 L",OSSIGENO 10 VOL,
FAN86083,TINT,FANOLA COLOR ROSSI 4.6,CREMA COLORE CAPELLI 100 ML 4.6 CASTANO ROSSO,
FAN86080,TINT,FANOLA TINTURA 10.3,CREMA COLORE CAPELLI 100 ML 10.3 BIONDO PLATINO DORATO,
FAN86078,TINT,FANOLA TINTURA 10.14,CREMA COLORE CAPELLI 100 ML 10.14 BIONDO PLATINO CIOCCOLATO,
FAN86075,TINT,FANOLA COLOR CENERE 10.1,CREMA COLORE CAPELLI 100 ML 10.1 BIONDO PLATINO CENERE,
FAN86074,TINT,FANOLA TINTURA 5.1,CREMA COLORE CAPELLI 100 ML 5.1 CASTANO CHIARO CENERE,
FAN86069,OTHER,"FANOLA Amarillo Fanola Corrector, per l uso quotidiano, 100 ml",CORRETTORE GIALLO FANOLA 100 ML,override utente
FAN86066,OTHER,FANOLA – Crema per capelli Fanola 100 ml,CORRETTORE NEUTRO FANOLA 100 ML,override utente
FAN86062,TINT,FANOLA COLOR SUPERSCHIARENTI 11.0,CREMA COLORE CAPELLI 100 ML 11.0 SUPERSCHIARENTE,
FAN86055,TINT,"Fanola 4.5 Medium Mahogany Brown Hair Coloring Cream, Tinta Castano Mogano, 100 ml",CREMA COLORE CAPELLI 100 ML 4.5 CASTANO MOGANO,
FAN86047,TINT,FANOLA TINTURA 6.43,CREMA COLORE CAPELLI 100 ML 6.43 BIONDO SCURO RAME DORATO,
FAN86034,TINT,"FANOLA – Crema tintura per capelli Fanola 100 ml 5.3, marrone chiaro e oro",CREMA COLORE CAPELLI 100 ML 5.3 CASTANO CHIARO DORATO,
FAN86027,TINT,FANOLA COLOR MARRONI 4.14,CREMA COLORE CAPELLI 100 ML 4.14 CASTANO CIOCCOLATO,
FAN86018,TINT,FANOLA COLOR CENERE 1.10,CREMA COLORE CAPELLI 100 ML 1.10 NERO BLU,
FAN86014,TINT,"FANOLA 9.03 – Crema colorante per capelli, 100 ml, biondo caldo molto chiaro",CREMA COLORE CAPELLI 100 ML 9.03 BIONDO CHIARISSIMO CALDO,
FAN86010,TINT,FANOLA COLOR NATURALI CALDI 5.03,CREMA COLORE CAPELLI 100 ML 5.03 CASTANO CHIARO CALDO,
FAN86009,TINT,"FANOLA – Crema tintura per capelli Fanola, 100 ml, 4.03, marrone medio caldo",CREMA COLORE CAPELLI 100 ML 4.03 CASTANO CALDO,
FAN86004,TINT,FANOLA TINTURA 5.0,CREMA COLORE CAPELLI 100 ML 5.0 CASTANO CHIARO,
FAN86003,TINT,FANOLA TINTURA 4.0 marrone,CREMA COLORE CAPELLI 100 ML 4.0 CASTANO,
FAN86002,TINT,FANOLA COLOR NATURALI 3.0,CREMA COLORE CAPELLI 100 ML 3.0 CASTANO SCURO,
FAN86001,TINT,"Fanola Crema Colore, 1.0 Nero, 100 ml",CREMA COLORE CAPELLI 100 ML 1.0 NERO,
FAN83710,TINT,"Fanola Crema colorante Colouring Cream 9.00 Biondo Chiaro Intensivo, 100 ml",CREMA COLORE CAPELLI 100 ML 9.00 BIONDO CHIARISSIMO NATURALE INTENSO,
FAN1096813,ORO,Crema colore permanente per capelli senza ammoniaca 100ml-ORO Therapy (- 10.21 BIONDO PLATINO VIOLA CENERE),CREMA COLORE CAPELLI SENZA AMMONIACA ORO THERAPY 100 ML 10.21 BIONDO PLATINO VIOLA CENERE,
FAN86317,TINT,"Fanola Crema colorante Colouring Cream 7.66 Blond Intensiv Rosso, 100 ml",CREMA COLORE CAPELLI 100 ML 7.66 BIONDO ROSSO INTENSO,
FAN86810,TINT,"FANOLA Hair Color – Crema tintura 8.14, cacao, 100 ml",CREMA COLORE CAPELLI 100 ML 8.14 BIONDO CHIARO CIOCCOLATO,
FAN1096802,ORO,"Fanola Oro Therapy Color Keratin 9.21, 100 ml",CREMA COLORE CAPELLI SENZA AMMONIACA ORO THERAPY 100 ML 9.21 BIONDO CHIARISSIMO VIOLA CENERE,
FAN86160,OXY,"FANOLA ATTIVATORE 3,5 VOL 1 LT","ATTIVATORE 3,5 VOL",override utente
FAN86081,TINT,FANOLA – Crema tintura per capelli Fanola 100 ml 11.2 Super Blond Platin Perl,CREMA COLORE CAPELLI 100 ML 11.2 SUPER BIONDO PLATINO PERLA,
FAN86313,TINT,"FANOLA – Crema colorante per capelli Fanola, 100 ml, 7.29, cioccolato nocciola",CREMA COLORE CAPELLI 100 ML 7.29 BIONDO CIOCCOLATO,
FAN86012,TINT,"FANOLA 9.03 – Crema colorante per capelli, 100 ml, biondo caldo molto chiaro",CREMA COLORE CAPELLI 100 ML 7.03 BIONDO CALDO,
FAN86024,TINT,"FANOLA – Crema colorante per capelli Fanola, 100 ml, 7.13, biondo beige",CREMA COLORE CAPELLI 100 ML 7.13 BIONDO BEIGE,
FAN86311,TINT,"Fanola Crema Colore Colouring Cream 5.29 Extra Cioccolato, 100 ml",CREMA COLORE CAPELLI 100 ML 5.29 CASTANO CHIARO CIOCCOLATO,
FAN86035,TINT,"FANOLA – Crema colorante per capelli, 100 ml, oro biondo scuro 6.3",CREMA COLORE CAPELLI 100 ML 6.3 BIONDO SCURO DORATO,
FAN86068,OTHER,FANOLA – Crema per capelli Fanola 100 ml,CORRETTORE BLU FANOLA 100 ML,override utente
FAN86051,TINT,"Fanola Crema colore Colouring Cream 7.44 Biondo vivace Rame, 100 ml",CREMA COLORE CAPELLI 100 ML 7.44 BIONDO RAME INTENSO,
FAN86708,TINT,"Fanola Crema colorante Coloring Cream 7.00 Blond Intensiv, 100 ml",CREMA COLORE CAPELLI 100 ML 7.00 BIONDO NATURALE INTENSO,
FAN86056,TINT,Fanola Crema colorante Colouring Cream 5.5 marrone chiaro mogano 100 ml,CREMA COLORE CAPELLI 100 ML 5.5 CASTANO CHIARO MOGANO,
FAN86042,TINT,"Fanola Crema Colore Colouring Cream 5.4 Marrone chiaro Rame, 100 ml",CREMA COLORE CAPELLI 100 ML 5.4 CASTANO CHIARO RAME,
FAN86443,ORO,"FANOLA COLOR COLOR KERATIN ORO PURO CIOCCOLATO 5.14, 119.9999 grammo, 1",CREMA COLORE CAPELLI SENZA AMMONIACA ORO THERAPY 100 ML 5.14 CASTANO CHIARO CIOCCOLATO,
FAN86029,TINT,"Fanola Crema colorante Colouring Cream 6.14 Nocciola, 100 ml",CREMA COLORE CAPELLI 100 ML 6.14 BIONDO SCURO CIOCCOLATO,
FAN86044,TINT,"FANOLA – Crema colorante per capelli, 100 ml, 7.4, biondo rame",CREMA COLORE CAPELLI 100 ML 7.4 BIONDO RAME,
FAN86038,TINT,"FANOLA Hair Color Crema tintura 9.3 biondo oro molto chiaro, 100 ml",CREMA COLORE CAPELLI 100 ML 9.3 BIONDO CHIARISSIMO DORATO,
FAN86077,TINT,"Fanola Crema colore Colouring Cream 9.14 Noce, 100 ml",CREMA COLORE CAPELLI 100 ML 9.14 BIONDO CHIARISSIMO CIOCCOLATO,
FAN86021,TINT,"Fanola crema colore color cream 8.1 biondo chiaro frassino, 100 ml (la confezione può variare)",CREMA COLORE CAPELLI 100 ML 8.1 BIONDO CHIARO CENERE,
FAN86059,TINT,"FANOLA – Crema colorante per capelli 5.6, marrone chiaro, rosso, 100 ml",CREMA COLORE CAPELLI 100 ML 5.6 CASTANO CHIARO ROSSO,
FAN86424,ORO,TINTA ORO COLOR KERATING 100ML 1.0,CREMA COLORE CAPELLI SENZA AMMONIACA ORO THERAPY 100 ML 1.0 NERO,
FAN86008,TINT,"Fanola Crema colorante Colouring Cream 9.0 Biondo Chiaro, 100 ml",CREMA COLORE CAPELLI 100 ML 9.0 BIONDO CHIARISSIMO,
FAN86016,TINT,"Fanola Crema colorante Colouring Cream 7.04 Biondo naturale Rame, 100 ml",CREMA COLORE CAPELLI 100 ML 7.04 BIONDO NATURALE RAME,
FAN86804,ORO,FANOLA COLOR COLOR KERATIN ORO PURO NATURALI INTENSI 8.00,CREMA COLORE CAPELLI SENZA AMMONIACA ORO THERAPY 100 ML 8.00 BIONDO CHIARO NATURALE INTENSO,
FAN86061,TINT,"Fanola Crema colorante Colouring Cream 7.6 Biondo Rosso, 100 ml",CREMA COLORE CAPELLI 100 ML 7.6 BIONDO ROSSO,
FAN86429,ORO,FANOLA COLOR COLOR KERATIN ORO PURO NATURALI 7.0,CREMA COLORE CAPELLI SENZA AMMONIACA ORO THERAPY 100 ML 7.0 BIONDO,
FAN86053,TINT,"Fanola Crema colore Colouring Cream 5.46 Marrone chiaro Rame Rosso, 100 ml",CREMA COLORE CAPELLI 100 ML 5.46 CASTANO CHIARO RAME ROSSO,
FAN86028,TINT,"FANOLA – Crema colorante per capelli 5.14, cioccolato, 100 ml",CREMA COLORE CAPELLI 100 ML 5.14 CASTANO CHIARO CIOCCOLATO,
FAN86023,TINT,"FANOLA – Crema colorante per capelli Fanola 6.13, biondo scuro beige, 100 ml",CREMA COLORE CAPELLI 100 ML 6.13 BIONDO SCURO BEIGE,
FAN86073,TINT,"Fanola Crema Colore Colouring Cream 9.04 Biondo Chiaro Naturale Rame, 100 ml",CREMA COLORE CAPELLI 100 ML 9.04 BIONDO CHIARISSIMO NATURALE RAME,
FAN86057,TINT,"Fanola Crema colorante Colouring Cream 6.5 Biondo Scuro Mogano, 100 ml",CREMA COLORE CAPELLI 100 ML 6.5 BIONDO SCURO MOGANO,
FAN86039,TINT,"FANOLA – Crema colorante per capelli, 100 ml, 6.34, biondo scuro, oro, rame",CREMA COLORE CAPELLI 100 ML 6.34 BIONDO SCURO DORATO RAME,
FAN86709,TINT,"Fanola Crema colorante Colouring Cream 9.00 Biondo Chiaro Intensivo, 100 ml",CREMA COLORE CAPELLI 100 ML 9.00 BIONDO CHIARISSIMO NATURALE INTENSO,
FAN86445,ORO,FANOLA COLOR COLOR KERATIN ORO PURO DORATI 5.3,CREMA COLORE CAPELLI SENZA AMMONIACA ORO THERAPY 100 ML 5.3 CASTANO CHIARO DORATO,
FAN86082,TINT,"Fanola Color, Crema colorante per Capelli, 11.7 Super Biondo platin irisé,100 ml",CREMA COLORE CAPELLI 100 ML 11.7 SUPERSCHIARENTE MARRONE,
FAN86041,TINT,"FANOLA – Crema colorante per capelli, 100 ml, 8.34, biondo chiaro, oro, rame",CREMA COLORE CAPELLI 100 ML 8.34 BIONDO CHIARO DORATO RAME,
FAN86045,TINT,"Fanola Crema colorante Colouring Cream 8.4 Biondo Chiaro Rame, 100 ml",CREMA COLORE CAPELLI 100 ML 8.4 BIONDO CHIARO RAME,
FAN86610,ORO,FANOLA COLOR COLOR KERATIN ORO PURO CORRETTORI VIOLA,CREMA COLORE CAPELLI SENZA AMMONIACA ORO THERAPY 100 ML CORRETTORE VIOLA,override utente
FAN86026,TINT,"FANOLA Hair Color Crema Colorante 9.13 Biondo molto chiaro Beige, 100 ml",CREMA COLORE CAPELLI 100 ML 9.13 BIONDO CHIARISSIMO BEIGE,
FAN86315,TINT,"FANOLA – Crema colorante per capelli, 100 ml, 5.66, marrone chiaro, rosso intenso",CREMA COLORE CAPELLI 100 ML 5.66 CASTANO CHIARO ROSSO INTENSO,
FAN86019,TINT,"Fanola Crema colorante Colouring Cream 6.1 Biondo Scuro Cenere, 100 ml",CREMA COLORE CAPELLI 100 ML 6.1 BIONDO SCURO CENERE,
FAN86033,TINT,"FANOLA Hair Color – Crema colorante, 100 ml, 5.2 castano chiaro, viola",CREMA COLORE CAPELLI 100 ML 5.2 CASTANO CHIARO VIOLA,
FAN86079,TINT,"Fanola Crema colorante Colouring Cream 6.2 Biondo scuro Viola, 100 ml",CREMA COLORE CAPELLI 100 ML 6.2 BIONDO SCURO VIOLA,
FAN86470,OXY_ORO,FANOLA Oro Therapy Gold Activator 40 vol 12% 1000ml,OSSIGENO ORO THERAPY 40 VOL,
FAN86054,TINT,"FANOLA – Crema per capelli colorati, 100 ml, 6.46, biondo scuro, rame, rosso",CREMA COLORE CAPELLI 100 ML 6.46 BIONDO SCURO RAME ROSSO,
FAN86025,TINT,"Fanola Crema colorante Colouring Cream 8.13 Biondo chiaro Beige, 100 ml",CREMA COLORE CAPELLI 100 ML 8.13 BIONDO CHIARO BEIGE,
FAN86427,TINT,"Fanola – Tinta 100 ml (5,0 Castano chiaro)",CREMA COLORE CAPELLI 100 ML 5.0 CASTANO CHIARO,
FAN86437,ORO,FANOLA COLOR COLOR KERATIN ORO PURO CENERE 6.1,CREMA COLORE CAPELLI SENZA AMMONIACA ORO THERAPY 100 ML 6.1 BIONDO SCURO CENERE,
FAN86040,TINT,"Fanola – Crema colorante per capelli, 7.34 biondo rame dorato, 100 ml",CREMA COLORE CAPELLI 100 ML 7.34 BIONDO DORATO RAME,
FAN86071,TINT,"Fanola – Crema colorante per capelli, 10.0 biondo platino, 100 ml",CREMA COLORE CAPELLI 100 ML 10.0 BIONDO PLATINO,
FAN1076150,ZOOM,CREMA COLORE PER CAPELLI 100ML COLORZOOM 10 MINUTI 6.6 BIONDO SCURO ROSSO-FANOLA,CREMA COLORE CAPELLI 100 ML 10MINUTI 6.6 BIONDO SCURO ROSSO,
FAN86306,TINT,"Fanola Hair Color Crema colorante 9.11 Biondo chiaro cenere, 100 ml",CREMA COLORE CAPELLI 100 ML 9.11 BIONDO CHIARISSIMO CENERE INTENSO,
FAN86043,TINT,"FANOLA Hair Color Crema Colorante 6.4 Biondo Scuro Rame, 100 ml",CREMA COLORE CAPELLI 100 ML 6.4 BIONDO SCURO RAME,
FAN86049,TINT,"Fanola Crema colore Colouring Cream 8.43 Biondo chiaro Rame Oro, 100 ml",CREMA COLORE CAPELLI 100 ML 8.43 BIONDO CHIARO RAME DORATO,
FAN86011,TINT,"Fanola – Crema colorante per capelli, 6.03 biondo scuro caldo, 100 ml",CREMA COLORE CAPELLI 100 ML 6.03 BIONDO SCURO CALDO,
FAN86705,TINT,"Fanola Color creama colorante n 4.00 castano intenso, 100 ml",CREMA COLORE CAPELLI 100 ML 4.00 CASTANO NATURALE INTENSO,
FAN86469,OXY_ORO,Fanola Oro Therapy Gold Activator 30 Vol. 1000Ml,OSSIGENO ORO THERAPY 30 VOL,
FAN86316,TINT,"Fanola Crema colorante Colouring Cream 6.66 biondo scuro rosso intenso, 100 ml",CREMA COLORE CAPELLI 100 ML 6.66 BIONDO SCURO ROSSO INTENSO,
FAN86468,OXY_ORO,FANOLA ORO THERAPY GOLD ACTIVATOR 20 VOLUMI 1000ML,OSSIGENO ORO THERAPY 20 VOL,
FAN86307,TINT,"Fanola – Crema colorante per capelli, 8.11 biondo chiaro cenere intenso, 100 ml",CREMA COLORE CAPELLI 100 ML 10.11 BIONDO PLATINO CENERE INTENSO,
FAN1076152,ZOOM,CREMA COLORE PER CAPELLI 100 ML COLORZOOM 10 MINUTI 7.7 BIONDO MARRONE-FANOLA,CREMA COLORE CAPELLI 100 ML 10MINUTI 7.7 BIONDO MARRONE,
FAN1076151,ZOOM,CREMA COLORE CAPELLI 100ML COLORZOOM 10 MINUTI 5.7 CASTANO CHIARO MARRONE-FANOLA,CREMA COLORE CAPELLI 100 ML 10MINUTI 5.7 CASTANO CHIARO MARRONE,
FAN1076149,ZOOM,CREMA COLORE CAPELLI 100 ML COLORZOOM 10 MINUTI 5.2 CASTANO CHIARO VIOLA-FANOLA,CREMA COLORE CAPELLI 100 ML 10MINUTI 5.2 CASTANO CHIARO VIOLA,
FAN1076148,ZOOM,CREMA COLORE PER CAPELLI 100 ML COLORZOOM 10 MINUTI 4.5 CASTANO MOGANO-FANOLA,CREMA COLORE CAPELLI 100 ML 10MINUTI 4.5 CASTANO MOGANO,
FAN1076147,ZOOM,CREMA COLORE PER CAPELLI 100 ML COLORZOOM 10 MINUTI 7.4 BIONDO RAME-FANOLA,CREMA COLORE CAPELLI 100 ML 10MINUTI 7.4 BIONDO RAME,
FAN1076146,ZOOM,CREMA COLORE CAPELLI 100 ML COLORZOOM 10 MINUTI 5.4 CASTANO CHIARO RAME-FANOLA,CREMA COLORE CAPELLI 100 ML 10MINUTI 5.4 CASTANO CHIARO RAME,
FAN1076145,ZOOM,CREMA COLORE CAPELLI 100 ML COLORZOOM 10 MINUTI 8.3 BIONDO CHIARO DORATO-FANOLA,CREMA COLORE CAPELLI 100 ML 10MINUTI 8.3 BIONDO CHIARO DORATO,
FAN1076144,ZOOM,CREMA COLORE PER CAPELLI 100ML COLORZOOM 10MINUTI 6.3 BIONDO SCURO DORATO-FANOLA,CREMA COLORE CAPELLI 100 ML 10MINUTI 6.3 BIONDO SCURO DORATO,
FAN1076143,ZOOM,TINTURA CAPELLI 100ML COLORZOOM 10MINUTI 6.71 BIONDO SCURO MARRONE FREDDO-FANOLA,CREMA COLORE CAPELLI 100 ML 10MINUTI 6.71 BIONDO SCURO MARRONE FREDDO,
