SKU_SITO,NOME_SITO,SKU_AMAZON,PEZZI,CONFIDENZA,FONTE,TITOLO_AMAZON,NOTA
IEVSP/L,GUANTI VINILE p.free PALMPRO 511 SCAT. 100 PZ TG.L,EVSP-L-6,6,ALTA,NOTA,Generico Guanti in Vinile Essential 511 Monouso - Taglia L - Scatola da 100 Guanti - Confezione da 6 Scatole,VARIANTE DA 6 CONFEZIONI
IEVSP/L,GUANTI VINILE p.free PALMPRO 511 SCAT. 100 PZ TG.L,EVSP-L,3,DA_VERIFICARE,TITOLO,Generico GUANTO IN VINILE ESSENTIAL 511 - TAGLIA L - SCATOLA DA 100 GUANTI - CONFEZIONE DA 3 SCATOLE,
IEVSP/L,GUANTI VINILE p.free PALMPRO 511 SCAT. 100 PZ TG.L,EVSP-M,3,DA_VERIFICARE,TITOLO,Generico GUANTO IN VINILE ESSENTIAL 511 - TAGLIA M - SCATOLA DA 100 GUANTI - CONFEZIONE DA 3 SCATOLE,
IEVSP/L,GUANTI VINILE p.free PALMPRO 511 SCAT. 100 PZ TG.L,GUANTI_VINILE,1,singolo,singolo,Generico GUANTO IN VINILE ESSENTIAL 511 – TAGLIA S/M/L,
ITM1821-S,,YL-NI1O-892G,6,DA_VERIFICARE,TITOLO,"Sanitec detergente disinfettante Multi Activ Bagno (6 pezzi) pronto all' uso per superfici ad uso ambientale, 750 ml, Sanitec. alcolico",
ITM1821-S,MULTI ACTIV VERDE DISINFETT PMC INODORE ML.750 CRT/6 PZ,WB-K29Q-GO2E,1,singolo,singolo,"Sanitec, Multi Activ, Sgrassante Disinfettante Multiuso, Ideale per la Disinfezione di Tutte le Superfici a Contatto con Gli Alimenti, Elimina il 99,9% dei Batteri, Presidio Medico Chirurgico, 750 ml",
MD0000,SELEKO DISINFETTANTE SPRAY POLIV. ML.500 T/12,FA-F1T8-BFO9,2,ALTA,NOTA,DISINFETTANTE STERILIZZANTE IN POLVERE PEROXILL - FLACONE DA 1 KG - CONFEZIONE DA 2 FLACONI,SU AMAZON CONF 2 FUSTINI
MD0000,SELEKO DISINFETTANTE SPRAY POLIV. ML.500 T/12,8Z-GXRA-J2TI,2,ALTA,NOTA,DISINFETTANTE STERILIZZANTE IN POLVERE PEROXILL - FLACONE DA 1 KG - CONFEZIONE DA 2 FLACONI,SU AMAZON CONF 2 FUSTINI
MD0000,SELEKO DISINFETTANTE SPRAY POLIV. ML.500 T/12,A0-5YJT-Q71S,2,ALTA,NOTA,DISINFETTANTE STERILIZZANTE IN POLVERE PEROXILL - FLACONE DA 1 KG,SU AMAZON CONF 2 FUSTINI
MD0000,PEROXILL 2000 FLAC. KG.1 T/6,VS-REEX-NBCH,1,singolo,singolo,Peroxill 2000 Disinfettante Sterilizzante in Polvere - 1kg,
MD0002,PEROXILL 2000 SECCHIELLO KG.2,41-EXYU-EGS4-3,3,ALTA,NOTA,Sterilizzante Disinfettante in polvere Peroxill fustino da 2KG - Confezione da 3 fustini,CONVEZIONE DA 3 FUSTINI
MD0002,SELEKO DISINFETTANTE SPRAY POLIV. ML.500 T/12,GX-92TY-TOBS,2,ALTA,NOTA,Sterilizzante Disinfettante in polvere Peroxill fustino da 2KG - Confezione da 2 fustini,SU AMAZON CF. DA 2 FUSTINI
MD0002,SELEKO DISINFETTANTE SPRAY POLIV. ML.500 T/12,YW-YW1H-GCX3,2,ALTA,NOTA,"Sterilizzante Disinfettante in polvere Peroxill 2KG - Confezione da 2 fustini da 2 Kg (2, 2 FUSTINI)",SU AMAZON CF. DA 2 FUSTINI
MD0002,SELEKO DISINFETTANTE SPRAY POLIV. ML.500 T/12,41-EXYU-EGS4-2,2,ALTA,NOTA,"Sterilizzante Disinfettante in polvere Peroxill 2KG - Confezione da 2 fustini da 2 Kg (2, 2 FUSTINI)",SU AMAZON CF. DA 2 FUSTINI
MD0002,SELEKO DISINFETTANTE SPRAY POLIV. ML.500 T/12,41-EXYU-EGS4,1,singolo,singolo,Sterilizzante Disinfettante in polvere Peroxill 2KG,
MD0002,SELEKO DISINFETTANTE SPRAY POLIV. ML.500 T/12,PA-BIWA-MDQK,1,singolo,singolo,Sterilizzante Disinfettante in polvere Peroxill 2KG,
ROCER421,CERA LIPOSOLUBILE ROSA AL TITANIO 400 ML BASIC LINE T/24,BA-GLE1-THAM,24,DA_VERIFICARE,TITOLO,CARTUCCIA CERA DEPILATORIA 100 ML TITANIO ROSA RO.IAL - CONFEZIONE 24 CARTUCCE,
ROCER421,CERA CARTUCCIA TITANIO ROSA 100 ML -  RO,ID-1500.100-24,24,ALTA,NOTA,"CERA DEPILATORIA AL TITANIO ROSA BARATTOLO 350 ml IN MICROONDE IN 3"" MINUTI SCALDACERA IN 20"" MINUTI PROFESSIONALE - CARTONE DA 24 BARATTOLI (24)",SU AMAZON IN CONFEZINE DA 24 BARATTOLI
ROCER421,CERA CARTUCCIA TITANIO ROSA 100 ML -  RO,HX-M781-DJJP,24,ALTA,NOTA,"CERA DEPILATORIA AL TITANIO ROSA BARATTOLO 350 ml IN MICROONDE IN 3"" MINUTI SCALDACERA IN 20"" MINUTI PROFESSIONALE - CARTONE DA 24 BARATTOLI",SU AMAZON IN CONFEZINE DA 24 BARATTOLI
ROCER421,CERA CARTUCCIA TITANIO ROSA 100 ML -  RO,ID-1500.100-2,2,ALTA,NOTA,"CERA DEPILATORIA AL TITANIO ROSA 350 ml IN MICROONDE IN 3"" MINUTI SCALDACERA IN 20"" MINUTI PROFESSIONALE - CONFEZIONE 2 BARATTOLI (2)",SU AMAZON IN CONFEZINE DA 2 BARATTOLI
RODEP536,ROTOLO DEPILAZIONE N100 CRT. 24 ROTOLI,TQ-YYHJ-IBCC,6,ALTA,NOTA,Ro.ial. - ROTOLO PER EPILAZIONE IN TNT - CF. 6 PEZZI,SU AMAZON CONFEZIONE 6 ROTOLI
RODEP536,ROTOLO DEPILAZIONE N100 CRT. 24 ROTOLI,0U-6Z8X-C4UO,3,ALTA,NOTA,Ro.ial. - ROTOLO PER EPILAZIONE IN TNT - CF. 3 PEZZI,SU AMAZON CONFEZIONE 3 ROTOLI
RODEP536,ROTOLO DEPILAZIONE N100 CRT. 24 ROTOLI,37-72JO-CF83,1,singolo,singolo,"Ro.ial. - Rotolo Per Epilazione in TNT, 1 Pezzo",
SIGBBC003BIO50BOL,,VH-0O9W-RFWT,20,ALTA,NOTA,Generico PIATTO FONDO 680 ML IN FIBRA DI CANNA DA ZUCCHERO - COMPOSTABILE E BIODEGRADABILE - CF. 1000 PIATTI,SU AMAZON CARTONE DA 20 CONFEZIONI
SIGBBC003BIO50BOL,,GZ-KWNZ-YFWJ,1,singolo,singolo,Generico PIATTO FONDO 680 ML IN FIBRA DI CANNA DA ZUCCHERO - COMPOSTABILE E BIODEGRADABILE - CF. 50 PIATTI,
SIGBPC003BIO50B,,QU-0ZLC-DESU,500,DA_VERIFICARE,TITOLO,Generico PIATTO LISCIO DIAM. 22 CM IN POLPA DI CELLULOSA BIODEGRADABILE E COMPOSTABILE - CONF. DA 500 PEZZI,
SIGBPC003BIO50B,,05-E6F2-HJ4X,10,ALTA,NOTA,Generico PIATTO LISCIO DIAM. 22 CM IN POLPA DI CELLULOSA BIODEGRADABILE E COMPOSTABILE - CONF. 50 PIATTI,SU AMAZON CONF DA 10 PACCHI
VD11705,,KQ-XQXP-A4PS,25,DA_VERIFICARE,TITOLO,BIS DI POSATE BIANCHE IMBUSTATE CON TOVAGLIOLI 2 VELI - BIODEGRADABILI E COMPOSTABILI - CONFEZIONE DA 25 PEZZI,
VD11705,,M0-MERY-HFU0,20,ALTA,NOTA,BIS DI POSATE BIANCHE IMBUSTATE CON TOVAGLIO 2 VELI - BIODEGRADABILI E COMPOSTABILI - CONFEZIONE DA 500 PEZZI,SU AMMAZON CF. 20 PACCHETTI
